,PCO2,temp,sal,pH,timepoint,sample_date
1,400,18.0166666666667,30.5056994933333,7.80263157866667,1,2017-06-05
2,900,17.7333333333333,30.52271327,7.52537593966667,1,2017-06-05
3,2800,17.9333333333333,30.52271327,7.0911654135,1,2017-06-05
4,400,17.7416666666667,30.3339997133333,7.80785784541667,2,2017-06-06
5,900,17.7833333333333,30.3453051083333,7.52530479225,2,2017-06-06
6,2800,17.625,30.3425066016667,7.09137709933333,2,2017-06-06
7,400,17.3277777777778,30.1380552205556,7.841633217,9,2017-06-13
8,900,17.2111111111111,30.1455804255556,7.56737691433333,9,2017-06-13
9,2800,17.1888888888889,30.1644020405556,7.16323014238889,9,2017-06-13
10,400,16.6444444444444,31.1242945244444,7.94423286472222,22,2017-06-26
11,900,16.7611111111111,31.1206022461111,7.67904891094444,22,2017-06-26
12,2800,16.7722222222222,31.1280071383333,7.3131936085,22,2017-06-26
13,400,18.3111111111111,30.8853174027778,7.79858846544444,50,2017-07-24
14,900,18.6222222222222,30.9186753722222,7.52293383266667,50,2017-07-24
15,2800,18.9777777777778,30.9298021655556,7.02384993377778,50,2017-07-24
16,400,19.3166666666667,31.27402863,7.77884078322222,79,2017-08-22
17,900,19.4055555555556,31.223859955,7.53311058966667,79,2017-08-22
18,2800,19.3166666666667,31.21078265,7.04277624438889,79,2017-08-22
19,400,19.3166666666667,31.27402863,7.77884078322222,81,2017-08-24
20,900,19.4055555555556,31.223859955,7.53311058966667,81,2017-08-24
21,2800,19.3166666666667,31.21078265,7.04277624438889,81,2017-08-24
